
IN256OUT64,IN256OUT64,,,BATCH
0.002133,0.983194,2048,512,16
0.002394,0.876003,2048,512,18
0.002658,0.788996,2048,512,20
0.003991,0.52547,2048,512,30
0.005273,0.397715,2048,512,40
0.006586,0.318426,2048,512,50
0.007928,0.264525,2048,512,60
IN2048OUT1024,IN2048OUT1024,,,BATCH
0.000165,25.42,2048,1024,1
0.000296,14.1699,2048,1024,2
0.00064,6.5536,2048,1024,4
0.000875,4.79349,2048,1024,6
0.001086,3.86216,2048,1024,8
0.001352,3.1023,2048,1024,10
0.001622,2.58588,2048,1024,12
0.001874,2.23816,2048,1024,14
0.002143,1.95721,2048,1024,16
0.002405,1.74399,2048,1024,18
0.002666,1.57326,2048,1024,20
0.003981,1.05358,2048,1024,30
0.005293,0.792425,2048,1024,40
0.006617,0.633868,2048,1024,50
0.007914,0.529985,2048,1024,60
IN2048OUT2048,IN2048OUT2048,,,BATCH
0.000164,51.15,2048,2048,1
0.000302,27.7768,2048,2048,2
0.000562,14.9263,2048,2048,4
0.00083,10.1068,2048,2048,6
0.001092,7.68188,2048,2048,8
0.001362,6.15904,2048,2048,10
0.001625,5.16222,2048,2048,12
0.00191,4.39194,2048,2048,14
0.00216,3.88361,2048,2048,16
0.002421,3.46494,2048,2048,18
0.002692,3.11612,2048,2048,20
0.004011,2.0914,2048,2048,30
0.005329,1.57414,2048,2048,40
0.00665,1.26144,2048,2048,50
0.00799,1.04989,2048,2048,60
IN2048OUT4096,IN2048OUT4096,,,BATCH
0.000191,87.8388,2048,4096,1
0.00035,47.9349,2048,4096,2
0.000667,25.1532,2048,4096,4
0.000981,17.1022,2048,4096,6
0.001301,12.8956,2048,4096,8
0.001622,10.3435,2048,4096,10
0.001937,8.66144,2048,4096,12
0.002236,7.50323,2048,4096,14
0.002557,6.56129,2048,4096,16
0.002877,5.8315,2048,4096,18
0.003187,5.26427,2048,4096,20
0.004756,3.52759,2048,4096,30
0.006379,2.63007,2048,4096,40
0.007916,2.11941,2048,4096,50
0.009471,1.77143,2048,4096,60
IN4096OUT64,IN4096OUT64,,,BATCH
0.000225,2.33017,4096,64,1
0.000426,1.23072,4096,64,2
0.000805,0.651289,4096,64,4
0.001358,0.386074,4096,64,6
0.001921,0.272925,4096,64,8
0.002543,0.206169,4096,64,10
0.003041,0.172406,4096,64,12
0.003548,0.14777,4096,64,14
0.004051,0.129422,4096,64,16
0.004524,0.11589,4096,64,18
0.005088,0.103044,4096,64,20
0.007525,0.0696728,4096,64,30
0.009973,0.0525707,4096,64,40
0.012537,0.0418193,4096,64,50
0.015034,0.0348735,4096,64,60
IN4096OUT128,IN4096OUT128,,,BATCH
0.000222,4.72332,4096,128,1
0.00042,2.49661,4096,128,2
0.000922,1.13728,4096,128,4
0.001492,0.702799,4096,128,6
0.001996,0.525339,4096,128,8
0.002554,0.410562,4096,128,10
0.003059,0.342784,4096,128,12
0.003556,0.294875,4096,128,14
0.004076,0.257256,4096,128,16
