
IN256,OUT64,,,BATCH
0.001592,10.5385,4096,2048,16
0.001821,9.21319,4096,2048,18
0.001945,8.62582,4096,2048,20
0.004044,4.14867,4096,2048,30
0.006773,2.47707,4096,2048,40
0.008538,1.96501,4096,2048,50
0.009991,1.67923,4096,2048,60
IN4096,OUT4096,,,BATCH
0.000343,97.8263,4096,4096,1
0.000519,64.6521,4096,4096,2
0.000874,38.3918,4096,4096,4
0.00124,27.06,4096,4096,6
0.001586,21.1566,4096,4096,8
0.001948,17.2251,4096,4096,10
0.002557,13.1226,4096,4096,12
0.003467,9.67823,4096,4096,14
0.004187,8.01396,4096,4096,16
0.00539,6.22531,4096,4096,18
0.006717,4.99545,4096,4096,20
0.010436,3.21526,4096,4096,30
0.014235,2.35718,4096,4096,40
0.017306,1.93889,4096,4096,50
0.020704,1.62067,4096,4096,60
IN12544,OUT64,,,BATCH
0.000612,2.62358,12544,64,1
0.000804,1.99705,12544,64,2
0.000811,1.97982,12544,64,4
0.000889,1.80611,12544,64,6
0.000842,1.90693,12544,64,8
0.000844,1.90241,12544,64,10
0.000955,1.68129,12544,64,12
0.00087,1.84555,12544,64,14
0.000875,1.83501,12544,64,16
0.00089,1.80408,12544,64,18
0.000934,1.71909,12544,64,20
0.000964,1.66559,12544,64,30
0.001064,1.50905,12544,64,40
0.00123,1.30539,12544,64,50
0.001346,1.19289,12544,64,60
IN12544,OUT128,,,BATCH
0.000804,3.99411,12544,128,1
0.000808,3.97434,12544,128,2
0.000814,3.94504,12544,128,4
0.000841,3.81839,12544,128,6
0.000847,3.79134,12544,128,8
0.000866,3.70816,12544,128,10
0.000887,3.62037,12544,128,12
0.000915,3.50958,12544,128,14
0.00093,3.45297,12544,128,16
0.000975,3.2936,12544,128,18
0.000986,3.25686,12544,128,20
0.001245,2.57933,12544,128,30
0.00148,2.16977,12544,128,40
0.001745,1.84027,12544,128,50
0.002011,1.59685,12544,128,60
IN12544,OUT256,,,BATCH
0.000824,7.79433,12544,256,1
0.000807,7.95852,12544,256,2
0.000827,7.76606,12544,256,4
0.000867,7.40776,12544,256,6
0.00091,7.05772,12544,256,8
0.000969,6.628,12544,256,10
0.001067,6.01924,12544,256,12
0.001179,5.44744,12544,256,14
0.001252,5.12981,12544,256,16
0.001342,4.78579,12544,256,18
0.001485,4.32493,12544,256,20
0.001948,3.29699,12544,256,30
0.002465,2.60549,12544,256,40
0.003014,2.1309,12544,256,50
0.003518,1.82562,12544,256,60
IN12544,OUT512,,,BATCH
0.000807,15.917,12544,512,1
0.000857,14.9884,12544,512,2
0.000891,14.4164,12544,512,4
0.001075,11.9489,12544,512,6
0.001227,10.4687,12544,512,8
0.001387,9.26103,12544,512,10
0.001634,7.86111,12544,512,12
0.001829,7.02299,12544,512,14
0.002113,6.07906,12544,512,16
0.002271,5.65612,12544,512,18
0.002443,5.2579,12544,512,20
0.003462,3.7103,12544,512,30
0.004535,2.83243,12544,512,40
0.005435,2.3634,12544,512,50
0.006554,1.95988,12544,512,60
IN12544,OUT1024,,,BATCH
0.000826,31.1018,12544,1024,1
0.000883,29.0941,12544,1024,2
0.001214,21.1615,12544,1024,4
0.001605,16.0063,12544,1024,6
0.00211,12.1754,12544,1024,8
0.002422,10.607,12544,1024,10
0.002802,9.16849,12544,1024,12
0.00327,7.8563,12544,1024,14
0.003681,6.97911,12544,1024,16
0.00421,6.10216,12544,1024,18
0.004429,5.80043,12544,1024,20
0.0064,4.01408,12544,1024,30
0.008984,2.85954,12544,1024,40
0.012753,2.01444,12544,1024,50
0.017819,1.44173,12544,1024,60
IN12544,OUT2048,,,BATCH
0.000881,58.3203,12544,2048,1
0.001212,42.3929,12544,2048,2
0.0021,24.4668,12544,2048,4
0.002834,18.1299,12544,2048,6
0.003721,13.8082,12544,2048,8
0.004425,11.6114,12544,2048,10
0.005301,9.69255,12544,2048,12
0.006132,8.37903,12544,2048,14
0.006895,7.45181,12544,2048,16
0.007909,6.49642,12544,2048,18
0.008894,5.77695,12544,2048,20
0.017795,2.88734,12544,2048,30
0.032355,1.58801,12544,2048,40
0.041903,1.22617,12544,2048,50
0.046974,1.0938,12544,2048,60
IN12544,OUT4096,,,BATCH
0.001205,85.2784,12544,4096,1
0.002108,48.7478,12544,4096,2
0.003663,28.0536,12544,4096,4
0.005244,19.5958,12544,4096,6
0.006901,14.8907,12544,4096,8
0.008773,11.7133,12544,4096,10
0.011759,8.73888,12544,4096,12
0.015334,6.70148,12544,4096,14
0.019722,5.21045,12544,4096,16
0.025236,4.07198,12544,4096,18
0.032292,3.18223,12544,4096,20
0.047541,2.16151,12544,4096,30
0.064844,1.58473,12544,4096,40
,,12544,4096,50
,,12544,4096,60
