
IN256OUT64,IN256OUT64,,,BATCH
0.00886,9.46795,1024,1024,40
0.011047,9.49195,1024,1024,50
0.009765,12.8857,1024,1024,60
IN1024OUT2048,IN1024OUT2048,,,BATCH
0.000318,13.1896,1024,2048,1
0.000556,15.0874,1024,2048,2
0.001574,10.659,1024,2048,4
0.002336,10.773,1024,2048,6
0.003111,10.7857,1024,2048,8
0.00389,10.7823,1024,2048,10
0.00465,10.824,1024,2048,12
0.005433,10.8081,1024,2048,14
0.00621,10.8066,1024,2048,16
0.006988,10.8039,1024,2048,18
0.007752,10.8212,1024,2048,20
0.008628,14.5838,1024,2048,30
0.009034,18.5712,1024,2048,40
0.016565,12.6601,1024,2048,50
0.012183,20.6565,1024,2048,60
IN1024OUT4096,IN1024OUT4096,,,BATCH
0.000778,10.7823,1024,4096,1
0.001539,10.9014,1024,4096,2
0.003066,10.944,1024,4096,4
0.004591,10.9631,1024,4096,6
0.006108,10.987,1024,4096,8
0.007649,10.9669,1024,4096,10
0.008159,12.3377,1024,4096,12
0.008843,13.2806,1024,4096,14
0.011667,11.504,1024,4096,16
0.008172,18.4771,1024,4096,18
0.007909,21.2128,1024,4096,20
0.012951,19.4316,1024,4096,30
0.01579,21.2504,1024,4096,40
0.019811,21.1716,1024,4096,50
0.029522,17.0489,1024,4096,60
IN2048OUT64,IN2048OUT64,,,BATCH
0.000126,2.08051,2048,64,1
0.00047,1.11551,2048,64,2
0.000975,1.07546,2048,64,4
0.001587,0.991093,2048,64,6
0.00212,0.989223,2048,64,8
0.002752,0.952558,2048,64,10
0.003285,0.957604,2048,64,12
0.003842,0.955236,2048,64,14
0.004404,0.952385,2048,64,16
0.004947,0.953829,2048,64,18
0.005493,0.954466,2048,64,20
0.00822,0.95673,2048,64,30
0.011053,0.94868,2048,64,40
0.013724,0.955057,2048,64,50
0.01651,0.952674,2048,64,60
IN2048OUT128,IN2048OUT128,,,BATCH
0.000241,2.17547,2048,128,1
0.000503,2.08464,2048,128,2
0.00107,1.95996,2048,128,4
0.00168,1.87246,2048,128,6
0.002184,1.92047,2048,128,8
0.002729,1.92117,2048,128,10
0.003352,1.87693,2048,128,12
0.003916,1.87437,2048,128,14
0.004472,1.87581,2048,128,16
0.005018,1.88067,2048,128,18
0.005568,1.88322,2048,128,20
0.008359,1.88164,2048,128,30
0.011137,1.88305,2048,128,40
0.013895,1.88661,2048,128,50
0.01673,1.88029,2048,128,60
IN2048OUT256,IN2048OUT256,,,BATCH
0.000277,3.78547,2048,256,1
0.000557,3.76508,2048,256,2
0.001153,3.63773,2048,256,4
0.001711,3.67706,2048,256,6
0.002282,3.67599,2048,256,8
0.002867,3.6574,2048,256,10
0.003433,3.66528,2048,256,12
0.003984,3.68476,2048,256,14
0.004524,3.70849,2048,256,16
0.005099,3.70158,2048,256,18
0.005677,3.69412,2048,256,20
0.008503,3.69955,2048,256,30
0.011302,3.71112,2048,256,40
0.014207,3.69035,2048,256,50
0.01702,3.69651,2048,256,60
IN2048OUT512,IN2048OUT512,,,BATCH
0.000307,6.83111,2048,512,1
0.000601,6.97888,2048,512,2
0.001187,7.06707,2048,512,4
0.001772,7.10097,2048,512,6
0.002353,7.13014,2048,512,8
0.002945,7.12106,2048,512,10
0.003554,7.08099,2048,512,12
0.004099,7.16275,2048,512,14
0.004692,7.15141,2048,512,16
0.005259,7.17793,2048,512,18
0.005851,7.16853,2048,512,20
0.008752,7.18859,2048,512,30
0.011679,7.18264,2048,512,40
0.014561,7.20126,2048,512,50
0.012524,10.047,2048,512,60
IN2048OUT1024,IN2048OUT1024,,,BATCH
0.000321,13.0664,2048,1024,1
0.000861,9.74287,2048,1024,2
0.001713,9.79405,2048,1024,4
0.002552,9.86122,2048,1024,6
0.003391,9.89514,2048,1024,8
