
IN256OUT64,IN256OUT64,,,BATCH
0.00034,12.3362,1024,1024,2
0.000593,14.1461,1024,1024,4
0.000856,14.6997,1024,1024,6
0.001132,14.8209,1024,1024,8
0.003406,6.15723,1024,1024,10
0.005205,4.83493,1024,1024,12
0.00642,4.57323,1024,1024,14
0.007505,4.47094,1024,1024,16
0.008605,4.38684,1024,1024,18
0.008914,4.7053,1024,1024,20
0.012906,4.87483,1024,1024,30
0.015788,5.31328,1024,1024,40
0.016968,6.17973,1024,1024,50
0.023534,5.34669,1024,1024,60
IN1024OUT2048,IN1024OUT2048,,,BATCH
0.000234,17.9244,1024,2048,1
0.000396,21.1834,1024,2048,2
0.000762,22.0173,1024,2048,4
0.005188,4.85078,1024,2048,6
0.007941,4.22547,1024,2048,8
0.009129,4.59448,1024,2048,10
0.01113,4.52216,1024,2048,12
0.012117,4.84611,1024,2048,14
0.013995,4.7952,1024,2048,16
0.015751,4.79319,1024,2048,18
0.016292,5.14891,1024,2048,20
0.021848,5.7593,1024,2048,30
0.030237,5.54857,1024,2048,40
0.036344,5.77028,1024,2048,50
0.027527,9.14223,1024,2048,60
IN1024OUT4096,IN1024OUT4096,,,BATCH
0.000542,15.4771,1024,4096,1
0.000923,18.1768,1024,4096,2
0.007656,4.38276,1024,4096,4
0.011345,4.43646,1024,4096,6
0.014791,4.53714,1024,4096,8
0.015936,5.26394,1024,4096,10
0.018493,5.44332,1024,4096,12
0.024027,4.88786,1024,4096,14
0.024998,5.36914,1024,4096,16
0.030317,4.98054,1024,4096,18
0.025121,6.67856,1024,4096,20
0.04863,5.17496,1024,4096,30
0.055365,6.06059,1024,4096,40
0.043832,9.56905,1024,4096,50
0.074007,6.80093,1024,4096,60
IN2048OUT64,IN2048OUT64,,,BATCH
9.8e-05,2.67494,2048,64,1
9.9e-05,5.29584,2048,64,2
0.000139,7.54371,2048,64,4
0.000164,9.59063,2048,64,6
0.000274,7.65384,2048,64,8
0.000399,6.57002,2048,64,10
0.000408,7.71012,2048,64,12
0.00041,8.95126,2048,64,14
0.00042,9.98644,2048,64,16
0.000475,9.93388,2048,64,18
0.000477,10.9914,2048,64,20
0.000572,13.7488,2048,64,30
0.000783,13.3918,2048,64,40
0.001004,13.055,2048,64,50
0.001112,14.1445,2048,64,60
IN2048OUT128,IN2048OUT128,,,BATCH
0.000183,2.86496,2048,128,1
0.000222,4.72332,2048,128,2
0.000272,7.71012,2048,128,4
0.000404,7.78646,2048,128,6
0.000422,9.93911,2048,128,8
0.000477,10.9914,2048,128,10
0.0005,12.5829,2048,128,12
0.000568,12.9226,2048,128,14
0.000587,14.2906,2048,128,16
0.000783,12.0526,2048,128,18
0.000789,13.2899,2048,128,20
0.00111,14.1699,2048,128,30
0.001491,14.0654,2048,128,40
0.00183,14.3248,2048,128,50
0.002112,14.8945,2048,128,60
IN2048OUT256,IN2048OUT256,,,BATCH
0.000219,4.78802,2048,256,1
0.000273,7.68188,2048,256,2
0.000416,10.0825,2048,256,4
0.000499,12.6081,2048,256,6
0.000588,14.2663,2048,256,8
0.000786,13.3407,2048,256,10
0.000952,13.2173,2048,256,12
0.001033,14.2111,2048,256,14
0.001123,14.9396,2048,256,16
0.001314,14.3641,2048,256,18
0.001497,14.009,2048,256,20
0.002111,14.9016,2048,256,30
0.006869,6.10613,2048,256,40
0.011156,4.69961,2048,256,50
0.013674,4.60104,2048,256,60
IN2048OUT512,IN2048OUT512,,,BATCH
0.000272,7.71012,2048,512,1
0.000415,10.1068,2048,512,2
0.00059,14.218,2048,512,4
0.00096,13.1072,2048,512,6
0.001127,14.8866,2048,512,8
0.001514,13.8517,2048,512,10
0.001666,15.1055,2048,512,12
0.002043,14.3711,2048,512,14
0.002205,15.2174,2048,512,16
0.00271,13.9294,2048,512,18
0.002756,15.2188,2048,512,20
0.013574,4.63493,2048,512,30
0.016408,5.11251,2048,512,40
0.017376,6.03462,2048,512,50
0.023063,5.45589,2048,512,60
IN2048OUT1024,IN2048OUT1024,,,BATCH
0.000284,14.7687,2048,1024,1
0.000434,19.3286,2048,1024,2
0.000775,21.648,2048,1024,4
0.001687,14.9175,2048,1024,6
0.002232,15.0333,2048,1024,8
0.006707,6.25362,2048,1024,10
0.009886,5.0912,2048,1024,12
0.013049,4.49998,2048,1024,14
0.015502,4.32905,2048,1024,16
0.016274,4.63915,2048,1024,18
0.015635,5.36528,2048,1024,20
0.02254,5.58248,2048,1024,30
0.027757,6.04432,2048,1024,40
0.033475,6.26483,2048,1024,50
0.040345,6.23766,2048,1024,60
IN2048OUT2048,IN2048OUT2048,,,BATCH
0.000574,14.6143,2048,2048,1
0.000956,17.5494,2048,2048,2
0.001785,18.798,2048,2048,4
0.008781,5.73188,2048,2048,6
0.012775,5.25314,2048,2048,8
0.017935,4.67723,2048,2048,10
0.016824,5.98332,2048,2048,12
0.018587,6.31842,2048,2048,14
0.025546,5.25396,2048,2048,16
0.026159,5.7722,2048,2048,18
0.029592,5.66951,2048,2048,20
0.045738,5.50217,2048,2048,30
0.063459,5.28758,2048,2048,40
0.061393,6.83189,2048,2048,50
0.093453,5.38577,2048,2048,60
IN2048OUT4096,IN2048OUT4096,,,BATCH
0.000886,18.9359,2048,4096,1
0.001617,20.751,2048,4096,2
0.012785,5.24903,2048,4096,4
0.015996,6.29303,2048,4096,6
0.02738,4.90204,2048,4096,8
0.027457,6.11036,2048,4096,10
0.034046,5.91337,2048,4096,12
0.043084,5.4517,2048,4096,14
0.047477,5.65401,2048,4096,16
0.049623,6.08568,2048,4096,18
0.055834,6.00968,2048,4096,20
0.079389,6.33988,2048,4096,30
0.097823,6.86023,2048,4096,40
0.127363,6.58638,2048,4096,50
0.144452,6.96863,2048,4096,60
IN4096OUT64,IN4096OUT64,,,BATCH
0.000174,3.01315,4096,64,1
0.000246,4.2625,4096,64,2
0.000299,7.01389,4096,64,4
0.000517,6.08458,4096,64,6
0.000522,8.03506,4096,64,8
0.000785,6.67883,4096,64,10
0.000794,7.92375,4096,64,12
0.000814,9.01724,4096,64,14
0.000821,10.2175,4096,64,16
0.000925,10.2024,4096,64,18
0.000934,11.2267,4096,64,20
0.001123,14.0059,4096,64,30
0.001574,13.3237,4096,64,40
0.002053,12.7688,4096,64,50
0.002235,14.0748,4096,64,60
