
IN256OUT64,IN256OUT64,,,BATCH
0.000289,14.5132,1024,2048,1
0.000651,12.8857,1024,2048,2
0.001157,14.5006,1024,2048,4
0.003289,7.65151,1024,2048,6
0.005701,5.88571,1024,2048,8
0.007015,5.97905,1024,2048,10
0.008029,6.26873,1024,2048,12
0.008957,6.5558,1024,2048,14
0.010858,6.18059,1024,2048,16
0.012494,6.0427,1024,2048,18
0.012664,6.62398,1024,2048,20
0.017208,7.31225,1024,2048,30
0.0204,8.22413,1024,2048,40
0.030352,6.90944,1024,2048,50
0.029423,8.55311,1024,2048,60
IN1024OUT4096,IN1024OUT4096,,,BATCH
0.000781,10.7409,1024,4096,1
0.001265,13.2626,1024,4096,2
0.006001,5.59147,1024,4096,4
0.008369,6.01406,1024,4096,6
0.011898,5.64035,1024,4096,8
0.01365,6.1455,1024,4096,10
0.012563,8.01268,1024,4096,12
0.0175,6.71089,1024,4096,14
0.018138,7.39981,1024,4096,16
0.018949,7.96849,1024,4096,18
0.020211,8.30103,1024,4096,20
0.023938,10.5129,1024,4096,30
0.03914,8.57293,1024,4096,40
0.037355,11.2282,1024,4096,50
0.045256,11.1215,1024,4096,60
IN2048OUT64,IN2048OUT64,,,BATCH
0.000127,2.06413,2048,64,1
0.000246,2.13125,2048,64,2
0.000283,3.70522,2048,64,4
0.000317,4.96172,2048,64,6
0.000333,6.29775,2048,64,8
0.000444,5.90414,2048,64,10
0.00046,6.83854,2048,64,12
0.000473,7.75902,2048,64,14
0.000487,8.61253,2048,64,16
0.000509,9.27032,2048,64,18
0.000517,10.141,2048,64,20
0.000655,12.0066,2048,64,30
0.000889,11.795,2048,64,40
0.001072,12.2269,2048,64,50
0.001191,13.2062,2048,64,60
IN2048OUT128,IN2048OUT128,,,BATCH
0.000244,2.14872,2048,128,1
0.000279,3.75834,2048,128,2
0.000317,6.61562,2048,128,4
0.000442,7.11703,2048,128,6
0.000458,9.15787,2048,128,8
0.000503,10.4232,2048,128,10
0.000523,12.0296,2048,128,12
0.000598,12.2743,2048,128,14
0.000627,13.379,2048,128,16
0.000806,11.7087,2048,128,18
0.000807,12.9935,2048,128,20
0.001125,13.981,2048,128,30
0.001568,13.3747,2048,128,40
0.001848,14.1853,2048,128,50
0.002176,14.4565,2048,128,60
IN2048OUT256,IN2048OUT256,,,BATCH
0.000276,3.79919,2048,256,1
0.000312,6.72164,2048,256,2
0.000443,9.46795,2048,256,4
0.000514,12.2402,2048,256,6
0.000611,13.7293,2048,256,8
0.000802,13.0745,2048,256,10
0.00098,12.8397,2048,256,12
0.001055,13.9148,2048,256,14
0.001128,14.8734,2048,256,16
0.001324,14.2556,2048,256,18
0.001521,13.788,2048,256,20
0.002125,14.8034,2048,256,30
0.002751,15.2465,2048,256,40
0.003625,14.4631,2048,256,50
0.004243,14.8278,2048,256,60
IN2048OUT512,IN2048OUT512,,,BATCH
0.00031,6.76501,2048,512,1
0.000443,9.46795,2048,512,2
0.000627,13.379,2048,512,4
0.00099,12.71,2048,512,6
0.001135,14.7817,2048,512,8
0.001526,13.7428,2048,512,10
0.001672,15.0513,2048,512,12
0.002051,14.315,2048,512,14
0.002198,15.2659,2048,512,16
0.002577,14.6483,2048,512,18
0.002751,15.2465,2048,512,20
0.004466,14.0875,2048,512,30
0.006658,12.5993,2048,512,40
0.006869,15.2653,2048,512,50
0.006673,18.8565,2048,512,60
IN2048OUT1024,IN2048OUT1024,,,BATCH
0.00032,13.1072,2048,1024,1
0.000639,13.1277,2048,1024,2
0.001196,14.0278,2048,1024,4
0.001719,14.6398,2048,1024,6
0.002212,15.1693,2048,1024,8
0.002745,15.2798,2048,1024,10
0.003285,15.3217,2048,1024,12
0.00383,15.3317,2048,1024,14
0.004694,14.2967,2048,1024,16
0.005388,14.0122,2048,1024,18
0.005928,14.1508,2048,1024,20
0.006789,18.5343,2048,1024,30
0.011522,14.561,2048,1024,40
0.012706,16.5052,2048,1024,50
0.019754,12.7396,2048,1024,60
IN2048OUT2048,IN2048OUT2048,,,BATCH
0.000423,19.8312,2048,2048,1
0.001243,13.4974,2048,2048,2
0.002303,14.5699,2048,2048,4
0.003358,14.9886,2048,2048,6
0.011183,6.00097,2048,2048,8
0.011854,7.07661,2048,2048,10
0.012329,8.16476,2048,2048,12
0.013908,8.4441,2048,2048,14
0.020196,6.64576,2048,2048,16
0.020967,7.20155,2048,2048,18
0.019177,8.74861,2048,2048,20
0.033134,7.59517,2048,2048,30
0.041506,8.08424,2048,2048,40
0.044219,9.4853,2048,2048,50
0.051074,9.85465,2048,2048,60
IN2048OUT4096,IN2048OUT4096,,,BATCH
0.000802,20.9192,2048,4096,1
0.001474,22.7642,2048,4096,2
0.011254,5.96311,2048,4096,4
0.012192,8.2565,2048,4096,6
0.017512,7.66433,2048,4096,8
0.025661,6.53802,2048,4096,10
0.025612,7.86064,2048,4096,12
0.032021,7.33522,2048,4096,14
0.03605,7.4462,2048,4096,16
0.040291,7.49522,2048,4096,18
0.044213,7.58927,2048,4096,20
0.060834,8.27361,2048,4096,30
0.066667,10.0663,2048,4096,40
0.070438,11.9092,2048,4096,50
0.093926,10.7173,2048,4096,60
IN4096OUT64,IN4096OUT64,,,BATCH
0.00023,2.27951,4096,64,1
0.000522,2.00877,4096,64,2
0.000595,3.52463,4096,64,4
0.000612,5.14008,4096,64,6
0.000664,6.31672,4096,64,8
0.00087,6.0263,4096,64,10
0.000876,7.18203,4096,64,12
0.000886,8.28446,4096,64,14
0.000908,9.23855,4096,64,16
0.000973,9.69906,4096,64,18
0.000991,10.581,4096,64,20
0.001222,12.8712,4096,64,30
0.001758,11.9292,4096,64,40
0.00211,12.4239,4096,64,50
0.002348,13.3975,4096,64,60
IN4096OUT128,IN4096OUT128,,,BATCH
0.000517,2.02819,4096,128,1
0.000591,3.54848,4096,128,2
0.000612,6.85344,4096,128,4
0.000862,7.29867,4096,128,6
0.000879,9.54335,4096,128,8
0.000973,10.7767,4096,128,10
0.001021,12.3241,4096,128,12
0.001153,12.7321,4096,128,14
0.00121,13.8655,4096,128,16
0.001588,11.8856,4096,128,18
0.001602,13.0908,4096,128,20
0.002256,13.9438,4096,128,30
0.003165,13.2521,4096,128,40
0.003745,13.9997,4096,128,50
0.003665,17.1663,4096,128,60
IN4096OUT256,IN4096OUT256,,,BATCH
0.000493,4.25386,4096,256,1
0.000602,6.96728,4096,256,2
0.000876,9.57604,4096,256,4
0.001005,12.5203,4096,256,6
0.001195,14.0395,4096,256,8
0.001602,13.0908,4096,256,10
0.001984,12.6844,4096,256,12
0.002138,13.7325,4096,256,14
0.002289,14.659,4096,256,16
0.002736,13.7971,4096,256,18
0.003114,13.4692,4096,256,20
0.004464,14.0938,4096,256,30
0.005642,14.8681,4096,256,40
0.006361,16.4845,4096,256,50
0.006675,18.8508,4096,256,60
IN4096OUT512,IN4096OUT512,,,BATCH
0.000603,6.95573,4096,512,1
0.000862,9.73156,4096,512,2
0.001214,13.8198,4096,512,4
0.001993,12.6271,4096,512,6
0.002298,14.6016,4096,512,8
0.003117,13.4562,4096,512,10
0.003469,14.509,4096,512,12
0.004265,13.7679,4096,512,14
0.004623,14.5163,4096,512,16
0.006614,11.4148,4096,512,18
0.008258,10.1582,4096,512,20
0.011013,11.4255,4096,512,30
0.010852,15.46,4096,512,40
0.019042,11.0133,4096,512,50
0.015849,15.8785,4096,512,60
IN4096OUT1024,IN4096OUT1024,,,BATCH
0.000522,16.0701,4096,1024,1
0.001267,13.2417,4096,1024,2
